Nama Resto,alamat,daerah,buka_tutup,jam_buka,jam_tutup,harga_semua,harga_awal,harga_akhir,rata_rata,rating,telepon,tipe,menu,review 
The Harvest Cakes  -  Biak,"Jl. Biak No.5C, RT.2/RW.5, Cideng, Jakarta, Central Jakarta City, Jakarta 10150",Jakarta Pusat,08.00  -  22.00,8:00:00 AM,  22.00,100.000  -  200.000,"100.000,00","200.000,00","150.000,00",4.5,211500581,Bakery,"Brownies, Lemper, kue ulang tahun, ice cream, macaroon","Tempat toko kue yang menyediakan berbagai jenis pastry dan kue, pelayanan ramah, serta nyaman untuk dine in, cuman kurang Wi-Fi nya kurang kenceng, untuk keseluruhan sudah bagus dan mantap."
Cake LAB & Kaffein,"Jl. Cideng Barat No.36a 4, RT.3/RW.11, Cideng, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10150",Jakarta Pusat,08.00  -  22.00,8:00:00 AM,  22.00,50.000  -   100.000,"50.000,00","100.000,00","75.000,00",4.2,8161111818,Bakery,"Cake, Bread, Pastry, Donut","Tempat nyaman, mudah dijangkau. Menerima pesan kue ulang tahun yang unik"
D2 Bakery & Cafe,"Jl Kh. Hasyim Ashari #56B, RT.17, RT.17/RW.3, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130",Jakarta Pusat,08.00  -  20.00,8:00:00 AM,  20.00,10.000  -  50.000,"10.000,00","50.000,00","30.000,00",4.5,2163859297,Bakery,"Cake, Bread, Pastry, Donut","D2 Bakery Cafe, bagi kalian yg suka nyemil Roti, Sandwich, Minum Kopi, teh, dan ice blend, dsini recomended banget tempatnya, untuk harga bisa dibandingkan dengan toko"" bakery lainnya"
Bintaro Bakery & Cake,"Jl. Cikini Raya, No. 121 / A2, Menteng, RT.9/RW.4, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",Jakarta Pusat,07.00  -  22.00,7:00:00 AM,  22.00,50.000  -   100.000,"50.000,00","100.000,00","75.000,00",4.3,81290531050,Bakery,"Cake, Bread, Pastry, Donut",Toko ruti dan kek yg jd pilihan untuk kantong terbatas . . Soal rasa bisa diadu dgn toko ruti dan kek lainnya yg berkelas
Martha Cake Shop,"Jl. Jambu No.33, RT.4/RW.2, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350",Jakarta Pusat,09.00  -  17.00,9:00:00 AM,  17.00,50.000  -   100.000,"50.000,00","100.000,00","75.000,00",4.5,213143567,Bakery,"Cake, Bread, Pastry, Donut","Suka sama kue dari martha cake ini sangat2 bintang 5,tetap sangat indah dan suasananya nyaman"
Warung MJS,"Jl. Setia Budi Tengah No.11, RT.1/RW.1, Kuningan, Setia Budi, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12910",Jakarta Selatan,11.00  -  21.00,11:00:00 AM,  21.00,50.000  -   100.000,"50.000,00","100.000,00","75.000,00",4.5,215252605,Restoran,"Nasi Goreng, Mie Goreng, Ayam Goreng, Sate Ayam","Warung MJS ternyata singkatan dari Mbah Jingkrak Setiabudi. Sekalian antar anak pulang kost. Tempatnya banyak ornamen hiasan adat jawa, sayangnya kurang terawat karena banyak sekali debu disana sini. Sempat ada rasa kawatir ini makanan bersih atau tidak. Ruangan panas, padahal sudah sore hampir jam 4.30 sore tapi ruangan panas."
PokenBir,"Lippo Kuningan, Jl. H. R. Rasuna Said No.Kav. B 12, RT.6/RW.7, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940",Jakarta Selatan,10.30  -  22.00,10:30:00 AM,  22.00,100.000  -  200.000,"100.000,00","200.000,00","150.000,00",4.7,2129110145,Restoran,"Pork Ribs, Pork Belly, Nasi Putih, Sambal","Pokenbir gak pernah mengecewakan saya. Bagi penggemar santapan porky, resto ini selalu menjadi andalah saya dan juga tidak segan2 saya rekomendasikan ke kenalan. Secara harga memang tergolong lumayan premium. Tapi secara kualitas dan porsi juga tidak mengecewakan. Menu andalan pastinya yg Pork Belly. Nasi goreng Pork Knuckle nya juga mantap ditambah Creamy cheesy spinach with bacon nya. Porchetta nya juga is a must try!"
Bakmi Garing,"Jl. Prof. DR. Satrio No.238 2, RT.2/RW.6, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12930",Jakarta Selatan,10.00  -  22.00,10:00:00 AM,  22.00,10.000  -  50.000,"10.000,00","50.000,00","30.000,00",4.3,87878959510,Restoran,"Bakmi Ayam, Bakso, Pangsit Goreng, Mie Goreng","Bakmie nya lumayan enak, isian toppingnya juga cukup beragam. Cuma agak kurang di kuahnya yang terlalu asin, klo garamnya dikit kayaknya kuahnya bakalan lebih kerasa gurihnya. Harga tidak terlalu mahal, Pangsit Gorengnya terbaik sih!"
Kembang Goela Restaurant,"Jl. Jend. Sudirman No.Kav. 47 - 48, RT.5/RW.4, Karet Semanggi, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920",Jakarta Selatan,11.00  -  21.00,11:00:00 AM,  21.00,100.000  -  200.000,"100.000,00","200.000,00","150.000,00",4.6,215205651,Restoran,"Nasi Goreng, Mie Goreng, Sate Ayam, Sate Kambing","Datang kesini untuk lunch bareng mamaku~ kami suka sekali ambience & vibes resto ini sangat nyaman, wangi & pelayan pun ramah."
Tokyo Belly,"Setiabudi One, Jl. H. R. Rasuna Said No.Kav 62 18, RT.18/RW.2, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920",Jakarta Selatan,10.00  -  22.00,10:00:00 AM,  22.00,50.000  -   100.000,"50.000,00","100.000,00","75.000,00",4.5,215207910,Restoran,"Sushi, Ramen, Tempura, Donburi","Sore ini nyobain ke Tokyo Belly Setiabudi one, terletak di lantai dasar, datang tdk di saat peak hour, suasana resto yg terang dan cozy, buat penasaran untuk mampir. Nyobain Tantan Ramen..wih, sedap..kaldunya terasa segar, dan daging cincang nya bikin makin nikmat, porsinya jg pas.Koru koru tofunya jg enak, lembut dan ada kenyal²nya, dengan minum segelas ocha dingin."
Scarlett's House BLOK M,"Jl. Sultan Hasanudin, Melawai, Jakarta, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160",Jakarta Selatan,11.00  -  21.30,11:00:00 AM,  21.30,100.000  -  200.000,"100.000,00","200.000,00","150.000,00",4.6,81292721601,Café,"Espresso, Latte, Cappuccino, Croissant, Sandwich","Kesini karna mau ketemu temen jadi belum sempet riset menu apa yg enak. Akhirnya nyobain tiramisunya dan ternyata lumayan enak! Tipikal tiramisu yg berasa kopi dan pahitnya enak, ngeblend dengan creamnya mantep bgt dan ini gak mengandung alkohol ya. Definitely will come back untuk nyoba cake yg lain"
Kedai Tjikini  -  M Bloc Space,"Jl. Panglima Polim No.37, RT.1/RW.1, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160",Jakarta Selatan,10.00  -  22.00,10:00:00 AM,  22.00,50.000  -   100.000,"50.000,00","100.000,00","75.000,00",4.3,85774114919,Café,"Bubur Ayam, Bubur Telur Pitan, Bubur Ikan, Bubur Seafood",Tempatnya strategis walaupun gak begitu besar tapi cukup nyama di sini... Selain itu bukanya pun cukup pagi sehingga pengunjung bisa santai buat sarapan. Untuk makanan rasanya cukup lumayan enak... Nasi goreng balacan cukup pas rasanya n porsinya lumayan besar sih klo untuk sarapan
NETIJEN CAFE and RESTO,"Jl. Raya Jagakarsa No.4, RT.9/RW.3, Jagakarsa, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",Jakarta Selatan,10.00  -  23.00,10:00:00 AM,  23.00,50.000  -   100.000,"50.000,00","100.000,00","75.000,00",4.5,81281542609,Café,"Espresso, Latte, Cappuccino, Croissant, Sandwich",Ke sini beberapa kali karena lumayan dekat jaraknya dari rumah. Untuk kopinya enak gula aren dan pandannya 20k. Cemilan favorit aku singkong netijen 15k enak lembut dan manis gulanya pas. Untuk tempat nyaman dan ada live music untuk hari tertentu. Posisi cafe nya mojok gitu. Pokoknya di seberang alfamart.
Sejiwa Coffee,"Jl. Aditiyawarman No.40, RT.6/RW.2, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160",Jakarta Selatan,06.00  -  23.00,6:00:00 AM,  23.00,100.000  -  200.000,"100.000,00","200.000,00","150.000,00",4.3,87837211115,Café,"Espresso, Latte, Cappuccino, Croissant, Sandwich","lokasi sgt strategis di selatan jakarta jd sering mampir sekalian sholat maghrib, bagusnya nyediain tempat sholat walopun kecil, sering bgt rame, apalagi kalo mlm, parkiran pake vallet 30.000, kue2nya enak walopun harga agak mahal, menu nasinya juga enak, pelayannya cowo2 dan ramah"
Ladang Coffee Pack,"Jl. Paso No.168 3, RT.5/RW.6, Jagakarsa, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12620",Jakarta Selatan,08.00  -  22.00,8:00:00 AM,  22.00,50.000  -   100.000,"50.000,00","100.000,00","75.000,00",4.4,81383414361,Café,"Espresso, Latte, Cappuccino, Croissant, Sandwich","Kesini waktu malam minggu, sebelum bulan puasa namun tempatnya engga terlalu ramai. Jadi cocok banget buat yang lagi ngerjain tugas atau sekedar kerja WFE. Harga relatif untuk satu cangkir minuman Rp. 35.000 dan ada juga makanan ringannya. Lokasinya di pinggir jalan satu arah Jagakarsa menuju arah Cilandak KKO."
BRAUD,"Jl. Senopati No.36, RT.6/RW.3, Selong, Kec. Kby. Baru, Daerah Khusus Ibukota Jakarta 12110",Jakarta Selatan,08.00  -  22.00,8:00:00 AM,  22.00,100.000  -  200.000,"100.000,00","200.000,00","150.000,00",4.6,82124328172,Bakery,"Cake, Bread, Pastry, Donut","Restaurant Senopati: Beberapa kali ke sini dan makan full meal juga pastry nya. Makanannya sih ok ya, no complaints bahan2 segar dan of high quality. Pernah coba their Croque madame pake sourdough, good one. Terus spaghetti Lobster nya juga mewah. Minuman, ga pernah aneh2 si I order paling sparkling water atau orange juice. Vibe nya thankful sekarang udah gak se antri awal-awal, dan jarang penuh jadi selalu dapet seat. Service nih yang agak lelet karena semua server dan waiter entah kenapa selalu kaya sibuk gitu? mungkin add more waiter ya."
Boutique à Paris,"Jl. Senopati No.71 - 73, RT.8/RW.3, Selong, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12110",Jakarta Selatan,10.00  -  20.00,10:00:00 AM,  20.00,50.000  -   100.000,"50.000,00","100.000,00","75.000,00",4.7,8118201920,Bakery,"Cake, Bread, Pastry, Donut","experience pertama makan di sini berasa warm banget krn welcoming dari staff yg ada di sini dan dijelasin produk best seller, bahan2 yg infonya asli dari Paris dan harusnya makanannya semua otentik ya. Pesan Arc En Ciel, Millefeuille Vanille dan dua2nya enakk. Jangan khawatir bingung pilih menu krn mereka juga sediain testernya. Parkir bukan vallet krn cukup memadai parkirannya, ada musholla juga di lantai bawah"
Weirdough Bakehouse,"Jl. Darmawangsa IX No.52 Blok U, RT.5/RW.1, Pulo, Kebayoran Baru, South Jakarta City, Jakarta 12160",Jakarta Selatan,09.00  -  20.00,9:00:00 AM,  20.00,50.000  -   100.000,"50.000,00","100.000,00","75.000,00",4.7,82298003712,Bakery,"Cake, Bread, Pastry, Donut","Nyaman buat ngopi sambil merenungi nasib, eh maksudnya sambil baca buku atau nonton netflix. Designnya simple tapi nyaman. Menu favorit: hot latte dan pretzel."
Roti Eneng,"Jl. Gandaria Tengah IV No.19, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130",Jakarta Selatan,08.00  -  20.30,8:00:00 AM,  20.30,10.000  -  50.000,"10.000,00","50.000,00","30.000,00",4.6,217251746,Bakery,"Cake, Bread, Pastry, Donut","Rotinya lumayan enak tapi ga bisa makan banyak2 karena makan satu juga kenyang dan kalo kebanyakan jadi eneg. Bukan tipikal roti yg light walaupun lembut. Nyobain yg la la vanilla dan milky, ngabisinnya harus pelan2 hehe.. nyobain smoked toast nya juga, rasanya enaaaak banget. Untuk tempat instagramable banget tapiii no AC ya jadi kalo bawa kiddos lumayan kegerahan. Tempat yg ada AC nya baru bisa dipakai kalo meeting katanya. Harga agak pricey untuk 1 buah roti yg ga terlalu besar berkisar 15-17ribu."
Chocban Jakarta Senopati,"Jl. Bakti I No.12, Rw. Bar., Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12180",Jakarta Selatan,07.00  -  21.00,7:00:00 AM,  21.00,10.000  -  50.000,"10.000,00","50.000,00","30.000,00",4.7,81999210688,Bakery,"Cake, Bread, Pastry, Donut","Beli ini karena sering banget muncul di instagram, pas dibeli dan dimakan ternyata enak emang, coklatnya lumer tumpeh2, tapi sayang bungkusnya aja yang agak kurang elit. Mau dibawa untuk buah tangan ke tempat saudara, tapi masa plastiknya gini 😭 kan jadi nggak kelihatan elit. Saran aja mungkin untuk pengemasan plastiknya agar dipercantik, supaya cocok jadi buah tangan dan bisa dibawa kemana-mana"
Soto Jakarta Pak Haji Yus,"Jl. Minangkabau Barat No.40, RT.1/RW.1, Ps. Manggis, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12970",Jakarta Selatan,08.00  -  18.00,8:00:00 AM,  18.00,10.000  -  50.000,"10.000,00","50.000,00","30.000,00",4.5,218294474,PKL,"Soto Betawi, Nasi Uduk, Ayam Goreng, Sambal",Enaakk ni Soto nyaa Siang siang Pas puasa buka jadi makan disini. Taste nya enak dan mix pake susu kyknya Isinya jg banyak Sayang sate nya gaada padahal pgn Cobain Tempat luass
Martabak Kubang Hayuda,"Jl. Dr. Saharjo No.86 1, RT.2/RW.7, Menteng Atas, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12860",Jakarta Selatan,10.30  -  23.30,10:30:00 AM,  23.30,10.000  -  50.000,"10.000,00","50.000,00","30.000,00",4.4,218295328,PKL,"Martabak Manis, Martabak Telur, Martabak Coklat Keju, Martabak Pandan","Resto Padang yang legend di Jakarta, dengan menu khas martabak kubang. Tersedia menu lainnya seperti soto padang, mie, roti chane, teh telur, teh tarik dan banyak menu lainnya. Rasanya enak banget 👍"
Rumah Makan Nusa Indah,"Jl. KH. Ahmad Dahlan Kby. No.33 3, RT.3/RW.1, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130",Jakarta Selatan,11.00  -  19.00,11:00:00 AM,  19.00,50.000  -   100.000,"50.000,00","100.000,00","75.000,00",4.4,217398883,PKL,"Nasi Padang, Rendang, Ayam Pop, Gulai",Tempat beli oleh2 yang lengkap hampir dari seluruh Indonesia ada disini. Tempatnya pun nyaman sehingga para calon pembeli leluasa melihat dan membeli barang. Yempa hari saya mampir untuk beli bakpia Kurnia Sari dan kue jahe.
Gado - gado Kertanegara,"Jl. Kertanegara No.2 3, RT.3/RW.2, Selong, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12110",Jakarta Selatan,10.00  -  15.00,10:00:00 AM,  15.00,10.000  -  50.000,"10.000,00","50.000,00","30.000,00",4.3,81286357690,PKL,"Gado-Gado, Lontong, Tahu, Tempe","Harga sedikit lebih mahal dr gado2 pinggir jalan, tp rasanya enak bumbu kacang nya gurih, isiannya standar gado2 dgn rasa yg enak, porsi cukup bukan yg bikin kenyang sekali, kebetulan datang pas baru buka jd masih sepi, makannya di pinggir jalan dibawah pohon rindang jadi adem dan jalanan nya bukan jalan utama yg sibuk jadi masih nyaman."
Es Podeng Kertanegara,"Jl. Kertanegara No.2 3, RT.6/RW.1, Selong, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12110",Jakarta Selatan,09.30  -  17.00,9:30:00 AM,  17.00,10.000  -  50.000,"10.000,00","50.000,00","30.000,00",4.6,87732618905,PKL,"Es Podeng, Es Teler, Es Campur, Es Kelapa",Es podeng legendaris yang ada di Jakarta Selatan. Rasanya enak. Harganya 10 ribu per cup.
Telaga Sampireun - Puri,"Jl. Lkr. Luar Barat No.1, RT.2/RW.3, Rw. Buaya, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11750",Jakarta Barat,10.00 - 22.00,10:00:00 AM, 22.00,100.000  -  200.000,"100.000,00","200.000,00","150.000,00",4.5,82221877705,Restoran,"Gurame Bakar, Ayam Goreng, Nasi Liwet, Sayur Asam","Gak expect ada tempat kayak gini di tengah kota, uda sering lewatin sm ngeliat tempatnya seliweran di IG, tp baru sempet mampir blom lama ini."
Layar Seafood & Ikan Bakar Pesanggrahan," Jl. Pesanggrahan No.80 1, RT.1/RW.3, Meruya Utara, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11620",Jakarta Barat,11.00 - 23.00,11:00:00 AM, 23.00,100.000  -  200.000,"100.000,00","200.000,00","150.000,00",4.1,81289717175,Restoran,"Ikan Bakar, Cumi Goreng Tepung, Udang Saus Padang, Kepiting Rebus","Resto favorit, makanannya enak  Menu spesial yang harus dipesan adalah ikan kudu-kudu goreng, ikan bakar, tumis pakis asap, kepiting bawang"
Isshin,"Central Park, Lantai Lower Ground Jl. Letjen S. Parman, Slipi, Jakarta Barat",Jakarta Barat,10.00 - 22.00,10:00:00 AM, 22.00,100.000  -  200.000,"100.000,00","200.000,00","150.000,00",4.4,2156985157,Restoran,"Sushi, Ramen, Tempura, Donburi","Tempatnya tidak luas tapi nyaman, duduk di bar nya sambil lihat chefnya masak"
Satu Meja,"Jl. Tanjung Duren Utara IV No. 464, Tanjung Duren, Jakarta Barat",Jakarta Barat,10.00 - 23.00,10:00:00 AM, 23.00,50.000  -  100.000,"50.000,00","100.000,00","75.000,00",4.3,82123459912,Café,"Nasi Goreng, Mie Goreng, Ayam Goreng, Sate Ayam","Restonya kecil aja tp dibikin sedemikian rupa sampai rasanya luas dan cozy. Dgn dekor industrial-minimalis, dining areanya memberi cool vibes yg enak buat nongkinya anak2 milenial."
Olive Tree House of Croissants,"Komplek Taman Permata Buana, Blok M4 No. 6 Jl. Pulau Sebaru, Puri, Jakarta Barat",Jakarta Barat,08.00 - 22.00,8:00:00 AM, 22.00,50.000  -  100.000,"50.000,00","100.000,00","75.000,00",4.2,8111293339,Café,"Croissant, Quiche, Salad, French Onion Soup","Tempatnya hommy, pet friendly, cukup luas dan ada area outdoor jg. Lumayan estetik jg buat yg suka foto. Croissant nya enak2, ada yg manis dan ada yg asin jg."
Padang Merdeka,"Jl. Lada No. 1, Kota, Jakarta Barat",Jakarta Barat,09.00 - 22.00,9:00:00 AM, 22.00,50.000  -  100.000,"50.000,00","100.000,00","75.000,00",4.2,81318553043,Restoran,"Nasi Padang, Rendang, Ayam Pop, Gulai","Makan nasi padang aja dah bikin happy apalagi makannya di padang kerdeka yg semua outletnya keren banget, ber AC, penuh mural yg sarat makna persatuan, higienis semua makanan di sealed."
Acaraki,"Gedung Kerta Niaga 3 Jl. Kali Besar Timur, Kota, Jakarta Barat",Jakarta Barat,10.00 - 22.00,10:00:00 AM, 22.00,50.000  -  100.000,"50.000,00","100.000,00","75.000,00",4.3,2122693354,Café,"Espresso, Latte, Cappuccino, Croissant, Sandwich","ternyata ada, cafe yang jualan khusus jamu dan makanan dengan reramuan khas nusantara. located in Kerta Niaga Building, ini kaya gedung tua dari jaman belanda gitu di kota tua."
Haidilao Hot Pot,"Mall Taman Anggrek, Lantai 1 Jl. Letjen S. Parman, Slipi, Jakarta Barat",Jakarta Barat,10.00 - 22.00,10:00:00 AM, 22.00,200.000 - 300.000,"200.000,00","300.000,00","250.000,00",4.2,81383552850,Restoran,"Hot Pot, Beef, Chicken, Seafood","Hai Di Lao always the best. Tiba di resto jam 12 lebih dikt ternyata udh antri dong, baiklah.. kita nikmati snack2 dan ice.cream, ditawari juga manicure sambil menunggu meja yang available."
Namamia Coffee & Eatery,"Jl. Raya Pos Pengumben No. 49, Kebon Jeruk, Jakarta Barat",Jakarta Barat,08.00 - 22.00,8:00:00 AM, 22.00,50.000  -  100.000,"50.000,00","100.000,00","75.000,00",4.1,81389996490,Café,"Espresso, Latte, Cappuccino, Croissant, Sandwich",Pertama kali masuk kafenya udah berasa hommy dan nyaman. Pilihan tempat duduk indoor dan outdoornya lumayan banyak.
Kembang Tandjoeng,"Griya Batik Semar, Lantai 1 Jl. Tomang Raya No. 54, Tomang, Jakarta Barat",Jakarta Barat,10.00 - 22.00,10:00:00 AM, 22.00,50.000  -  100.000,"50.000,00","100.000,00","75.000,00",4.1,82299996860,Restoran,"Nasi Goreng, Mie Goreng, Ayam Goreng, Sate Ayam","Restonya model vintage, menu makanan indonesia banget."
Chateraise,"Central Park, Lantai Lower Ground Jl. Letjen S. Parman, Slipi, Jakarta Barat",Jakarta Barat,10.00 - 22.00,10:00:00 AM, 22.00,50.000  -  100.000,"50.000,00","100.000,00","75.000,00",4.0,82123833110,Bakery,"Cake, Bread, Pastry, Donut","Chateraise -- Sebuah outlet yang menjual aneka kue-kue khas Jepang. Buat kalian yang mau cari kue pas Valentine, tempat ini cocok banget karena varian kuenya banyak dan bentukannya juga cantik."
Firstly Coffee,"Jl. Kemanggisan Raya No. 84B, Kemanggisan, Jakarta Barat",Jakarta Barat,09.00 - 22.00,9:00:00 AM, 22.00,15.000  -  50.000,"15.000,00","50.000,00","32.500,00",4.3,8118387783,Café,"Espresso, Latte, Cappuccino, Croissant, Sandwich","Guys, ada coffee shop yang enak banget buat nongkrong bareng temen and juga keluarga di daerah Kemanggisan nih, namanya @firstlycoffee ... Coffee shop ini lokasinya strategis so, mudah banget untuk dijangkau"
Born Ga,"Neo Soho Mall, Lantai Lower Ground Jl. Letjen S. Parman, Slipi, Jakarta Barat",Jakarta Barat,10.00 - 22.00,10:00:00 AM, 22.00,100.000  -  200.000,"100.000,00","200.000,00","150.000,00",4.1,2127893415,Restoran,"Korean BBQ, Bibimbap, Kimchi, Tteokbokki","Cheolpan Tteokgalbi nya disini paling favorit dan tidak tahu apakah ada di tempat lain, dengan bumbu tartar super sangat amat enak sekali. "
Pesisir Seafood,"Jl. Meruya Ilir No. 9, Meruya, Jakarta Barat",Jakarta Barat,11.00 - 23.00,11:00:00 AM, 23.00,100.000  -  200.000,"100.000,00","200.000,00","150.000,00",4.2,82261455110,Restoran,"Ikan Bakar, Cumi Goreng Tepung, Udang Saus Padang, Kepiting Rebus","ini resto seafood terbesar n terluas dj JakBar yg pernah aku kunjungi, Suka sama tempatnya yg luas, selain area indoor, jg ada outddoor, function hall, VIP room dan spot foto cantik."
Rempah Bistro,"Central Park, Lantai 1 Jl. Letjen S. Parman, Slipi, Jakarta Barat",Jakarta Barat,10.00 - 22.00,10:00:00 AM, 22.00,50.000  -  100.000,"50.000,00","100.000,00","75.000,00",4.2,81380829506,Restoran,"Nasi Goreng, Mie Goreng, Sate Ayam, Sate Kambing","Overall ya okee sih, ambiencenya juga nyaman. Baru tau kalo dine in ada masuk lagi ke dalem gitu jadi ga semuanya di bagian luar yang deket jalanan mall."
Francis Artisan Bakery,"Mall Taman Anggrek, Lantai Ground Jl. Letjen S. Parman, Slipi, Jakarta Barat",Jakarta Barat,10.00 - 21.00,10:00:00 AM, 21.00,15.000  -  50.000,"15.000,00","50.000,00","32.500,00",4.0,215639288,Bakery,"Cake, Bread, Pastry, Donut","Harga roti-roti di Francis Artisan Bakery memang bisa dibilang agak mahal tapi jaminan rasa, tekstur, dan variasi produknya sangat berkualitas. "
Bonjour Bakery,"Ranch Market, Lantai 1 Jl. Pesanggrahan No. 2, Puri, Jakarta Barat",Jakarta Barat,08.00.21.00,08.00.21.00,,15.000  -  50.000,"15.000,00","50.000,00","32.500,00",3.6,2158302636,Bakery,"Cake, Bread, Pastry, Donut",Ini bakery di dalam ranch market. Awalnya suka coba beli2 roti nya. Lumayan empuk dan oke rasanya.
Mie Ayam Ortega,"Jl. Utama Sakti 1, No.42A, Kel. Wijaya Kusuma, Kec. Grogol Petamburan, 11460",Jakarta Barat,06.00 - 14.00,6:00:00 AM, 14.00,15.000  -  30.000,"15.000,00","30.000,00","22.500,00",4.6,8128121494,PKL,"Mie Ayam, Bakso, Pangsit Goreng, Mie Goreng","Mienya enak, tidak over micin dan garam, porsi jg cukup besar. mantap pokokny"
Pecel Lele Lamongan Jaya,"Jl. Tanjung Duren Utara I No. 1A, Tanjung Duren, Jakarta Barat",Jakarta Barat,15.00 - 24.00,3:00:00 PM, 24.00,15.000  -  50.000,"15.000,00","50.000,00","32.500,00",3.8,85777001110,PKL,"Pecel Lele, Nasi Putih, Sambal, Tempe Goreng",Definisi makan murah tapi enak ya di Lamongan Jaya
Lele Crispy Dodo,"Jl. Jelambar Utama Raya No. 52, Jelambar, Jakarta Barat",Jakarta Barat,11.00 - 23.00,11:00:00 AM, 23.00,15.000  -  50.000,"15.000,00","50.000,00","32.500,00",3.4,81219918892,PKL,"Lele Goreng, Lele Bakar, Nasi Putih, Sambal",Makan siang di pesenin aneka makanan gitu. Tapi gue tertarik sama lele crispy dodo ini. Gak ada yg special ya dari tampilannya. 
Bubur Ayam Sheila,"Jl. Tanjung Duren Timur No. 23, Tanjung Duren, Jakarta Barat",Jakarta Barat,07.00 - 12.00,7:00:00 AM, 12.00,15.000  -  50.000,"15.000,00","50.000,00","32.500,00",4.1,87870863340,PKL,"Bubur Ayam, Bubur Telur Pitan, Bubur Ikan, Bubur Seafood",Semuanya enak cocok dicampur. Untuk sate nya ternyata tidak hanya besar-besar tapi juga sangat empuk. Rasanya beda dari sate bubur biasa dipinggir jalan.
Bubur Ayam Spesial Bang Jaya,"Jl. Pesanggrahan (Samping Halte), Puri, Jakarta Barat",Jakarta Barat,07.00 - 12.00,7:00:00 AM, 12.00,15.000  -  50.000,"15.000,00","50.000,00","32.500,00",3.4,81210992392,PKL,"Bubur Ayam, Bubur Telur Pitan, Bubur Ikan, Bubur Seafood","Untuk rasa bubur ayam nya mirip kayak bubur abang2 gerobakan gitu disini juga ada banyak sate2 an ada usus , ati ampela, telor puyuh."
Es Bubur Kacang Ijo Madura,"Jl. Al Amanah (Depan Masjid Raya Al Amanah), Jelambar, Jakarta Barat",Jakarta Barat,17.00 - 24.00,5:00:00 PM, 24.00,10.000  -  50.000,"10.000,00","50.000,00","30.000,00",3.6,,PKL,"Es Bubur Kacang Ijo, Es Teler, Es Campur, Es Kelapa",Standar aja sih ya untuk rasanya seperti bubur kacang ijo pada umumnya
Dough Lab,"Central Park, Lantai Lower Ground Jl. Letjen S. Parman, Slipi, Jakarta Barat",Jakarta Barat,10.00 - 22.00,10:00:00 AM, 22.00,50.000  -  100.000,"50.000,00","100.000,00","75.000,00",4.2,81296166723,Bakery,"Cake, Bread, Pastry, Donut","Doughlab adalah cookies favorite aku. Yg paling aku suka yg mini. Isinya banyak moist nya pas, enak deh."
Somay Baaang!,"Jl. KH. Syahdan No. 16, Palmerah, Jakarta Barat",Jakarta Barat,10.00 - 22.00,10:00:00 AM, 22.00,10.000  -  50.000,"10.000,00","50.000,00","30.000,00",3.2,85161456365,Restoran,"Siomay, Batagor, Tahu Goreng, Lontong","dengan harga segitu lumayan sih untuk ukuran somay, enak"
